,Company Name,Salary,tags,Job Roles
37,Publicis Sapient,700000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
38,SAP,1000000,"['Software', 'Development', 'Engineer', 'In', 'Test', '(SDET)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
39,Micro Focus,800000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
40,Arvind,400000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
41,TestVagrant,800000,"['Software', 'Development', 'Engineer', 'In', 'Test', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
42,MediBuddy,1000000,"['Software', 'Development', 'Engineer', 'I', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
43,MediBuddy,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
44,Target,1000000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
45,Nineleaps Technology Solutions,400000,"['Software', 'Development', 'Engineer', 'In', 'Test', '(SDET)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
46,NextGen Healthcare,700000,"['Software', 'Development', 'Engineer', 'In', 'Test', '(SDET)', 'II', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
47,OneDirect (India),1000000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
48,XYZ (Turkey),100000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
49,XYZ,200000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
50,OYO,300000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
51,Licious,800000,"['Software', 'Development', 'Engineer', 'I', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
52,Cisco Systems,200000,"['Software', 'Development', 'Engineer', 'I', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
53,Attivo Networks,400000,"['Software', 'Development', 'Engineer', 'In', 'Test', '(SDET)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
54,Jumbotail,800000,"['Software', 'Development', 'Engineer', '(SDE)', 'Bangalore', 'Full', 'Time', 'SDE', 'Software Development Engineer', 'Software Engineer', 'Developer', 'Java', 'C++', 'Python']",['SDE']
55,Juniper Networks,200000,"['Software', 'Development', 'Engineer', 'Bangalore', 'Full', 'Time', 'SDE']",['SDE']
